-0.002176,0.008821,0.802505,-0.004306,0.006183,0.001674,0.999970,-0.235844,-0.000296,-0.016107,0.431004,-0.214854,0.012298,-0.227080,-0.005334,0.029752,0.406444,-0.198930,0.014221,-0.000410,0.003095,0.300000,-0.000409,0.002132,-0.000083,0.001251,-0.300000,0.000488,0.002188,0.000085,0.000004
-0.002287,0.008819,0.802514,-0.004295,0.006152,0.001704,0.999970,-0.235930,-0.000238,-0.015864,0.430936,-0.214653,0.012276,-0.227150,-0.005444,0.029498,0.406418,-0.198781,0.014249,-0.000410,0.003054,0.300000,-0.000413,0.002164,-0.000084,0.001239,-0.300000,0.000492,0.002221,0.000086,0.000004
-0.002406,0.008818,0.802523,-0.004285,0.006114,0.001734,0.999971,-0.236013,-0.000177,-0.015619,0.430875,-0.214446,0.012255,-0.227216,-0.005551,0.029248,0.406394,-0.198621,0.014278,-0.000410,0.003014,0.300000,-0.000417,0.002194,-0.000085,0.001228,-0.300000,0.000497,0.002253,0.000087,0.000004
-0.002531,0.008816,0.802532,-0.004276,0.006070,0.001761,0.999971,-0.236096,-0.000114,-0.015373,0.430819,-0.214235,0.012234,-0.227279,-0.005655,0.029000,0.406371,-0.198454,0.014306,-0.000411,0.002976,0.300000,-0.000421,0.002225,-0.000086,0.001218,-0.300000,0.000501,0.002284,0.000087,0.000004
-0.002661,0.008814,0.802542,-0.004268,0.006021,0.001788,0.999971,-0.236179,-0.000048,-0.015127,0.430768,-0.214022,0.012213,-0.227341,-0.005757,0.028756,0.406349,-0.198280,0.014334,-0.000411,0.002939,0.300000,-0.000425,0.002254,-0.000086,0.001208,-0.300000,0.000505,0.002314,0.000088,0.000004
-0.002794,0.008812,0.802550,-0.004260,0.005971,0.001813,0.999971,-0.236262,0.000020,-0.014880,0.430721,-0.213807,0.012191,-0.227403,-0.005855,0.028515,0.406327,-0.198102,0.014360,-0.000411,0.002902,0.300000,-0.000429,0.002283,-0.000087,0.001198,-0.300000,0.000509,0.002344,0.000089,0.000004
-0.002927,0.008809,0.802559,-0.004253,0.005919,0.001837,0.999972,-0.236346,0.000090,-0.014633,0.430677,-0.213592,0.012167,-0.227465,-0.005951,0.028277,0.406305,-0.197922,0.014386,-0.000412,0.002867,0.300000,-0.000433,0.002311,-0.000088,0.001190,-0.300000,0.000513,0.002373,0.000090,0.000004
-0.003060,0.008805,0.802568,-0.004246,0.005869,0.001860,0.999972,-0.236433,0.000162,-0.014387,0.430634,-0.213379,0.012143,-0.227528,-0.006043,0.028042,0.406283,-0.197743,0.014410,-0.000412,0.002833,0.300000,-0.000436,0.002339,-0.000089,0.001182,-0.300000,0.000517,0.002402,0.000090,0.000004
-0.003192,0.008800,0.802577,-0.004239,0.005821,0.001882,0.999972,-0.236521,0.000236,-0.014141,0.430593,-0.213169,0.012118,-0.227592,-0.006133,0.027810,0.406260,-0.197565,0.014434,-0.000412,0.002800,0.300000,-0.000439,0.002366,-0.000089,0.001174,-0.300000,0.000521,0.002429,0.000091,0.000004
-0.003319,0.008795,0.802585,-0.004233,0.005776,0.001903,0.999973,-0.236612,0.000312,-0.013897,0.430552,-0.212963,0.012091,-0.227659,-0.006220,0.027581,0.406236,-0.197390,0.014455,-0.000413,0.002767,0.300000,-0.000443,0.002392,-0.000090,0.001167,-0.300000,0.000524,0.002457,0.000092,0.000004
