100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.087860,0.020515,0.116633,0.358970,-0.335590,0.034416,-0.117869,-0.014803,0.019123,0.331047,-0.275963,0.069189,0.036032,-0.077802,0.242864,-0.435808,-0.175157,-0.140841,-0.095424,-0.281870,0.188004,-0.181837,0.061532,0.000000,-2.972836,-0.435620,-2.335568,4.225340,-1.755801,0.311803,-2.103984,-0.546902,-0.886834,3.758809,-2.035660,0.247800,-1.590150,-0.464863,-0.258242,-0.515568,0.215678,0.922900,0.434145,-0.395876,-0.152317,-0.897391,-0.206931,0.000000,0.000000,0.000000,0.766168,0.100755,0.000656,-0.002530,0.994908,0.023742,-0.053913,-0.196290,-0.216327,-0.272973,1.530559
-0.117589,0.016159,0.093277,0.401224,-0.353148,0.037534,-0.138909,-0.020272,0.010254,0.368635,-0.296319,0.071667,0.020130,-0.082451,0.240281,-0.440964,-0.173000,-0.131612,-0.091083,-0.285829,0.186481,-0.190811,0.059463,0.000000,-2.972836,-0.435620,-2.335568,4.225342,-1.755801,0.311803,-2.103984,-0.546902,-0.886834,3.758809,-2.035660,0.247801,-1.590150,-0.464863,-0.258241,-0.515568,0.215679,0.922900,0.434145,-0.395876,-0.152317,-0.897392,-0.206932,0.000000,0.000237,-0.000539,0.764205,0.093135,-0.000792,-0.001587,0.995652,0.023742,-0.053913,-0.196290,-0.216327,-0.272973,1.530559
-0.147317,0.011803,0.069922,0.443477,-0.370706,0.040652,-0.159948,-0.025741,0.001386,0.406224,-0.316676,0.074145,0.004229,-0.087100,0.237699,-0.446119,-0.170843,-0.122383,-0.086741,-0.289787,0.184958,-0.199785,0.057393,0.000000,-2.972837,-0.435620,-2.335568,4.225344,-1.755799,0.311803,-2.103984,-0.546902,-0.886834,3.758807,-2.035660,0.247801,-1.590150,-0.464863,-0.258240,-0.515567,0.215678,0.922900,0.434145,-0.395876,-0.152317,-0.897392,-0.206932,0.000000,0.000475,-0.001078,0.762242,0.085510,-0.002239,-0.000643,0.996335,0.023742,-0.053913,-0.196290,-0.216328,-0.272972,1.530558
-0.177045,0.007447,0.046566,0.485731,-0.388264,0.043770,-0.180988,-0.031210,-0.007482,0.443812,-0.337032,0.076623,-0.011673,-0.091748,0.235117,-0.451275,-0.168686,-0.113154,-0.082400,-0.293746,0.183435,-0.208758,0.055324,0.000000,-2.167828,-0.320150,-1.640146,3.034303,-1.285660,0.263965,-1.534887,-0.383573,-0.566174,2.632697,-1.410869,0.200350,-1.040420,-0.387164,-0.185429,-0.369057,0.156973,0.650280,0.286226,-0.280066,-0.127234,-0.615064,-0.144079,0.000000,0.000712,-0.001617,0.760279,0.077879,-0.003687,0.000301,0.996956,0.014708,-0.055438,-0.139946,-0.141816,-0.238890,1.036514
-0.190674,0.005400,0.037119,0.504163,-0.396420,0.045932,-0.190646,-0.033413,-0.009938,0.458877,-0.344893,0.078152,-0.016579,-0.094843,0.233990,-0.453500,-0.167704,-0.109377,-0.081017,-0.295389,0.182413,-0.212086,0.054512,0.000000,-0.960314,-0.146943,-0.597014,1.247746,-0.580457,0.192208,-0.681245,-0.138580,-0.085185,0.943531,-0.473681,0.129175,-0.215825,-0.270615,-0.076210,-0.149293,0.068919,0.241348,0.064349,-0.106351,-0.089608,-0.191573,-0.049800,0.000000,0.000769,-0.002187,0.759443,0.075173,-0.004734,0.000543,0.997159,0.001158,-0.057727,-0.055432,-0.029015,-0.187669,0.295611
-0.196252,0.004508,0.034626,0.510686,-0.399874,0.047615,-0.194613,-0.033982,-0.009186,0.462682,-0.346506,0.079206,-0.015989,-0.097161,0.233592,-0.454261,-0.167308,-0.108327,-0.081113,-0.295873,0.181643,-0.212590,0.054328,0.000000,-0.557811,-0.089208,-0.249303,0.652230,-0.345388,0.168289,-0.396697,-0.056916,0.075145,0.380474,-0.161286,0.105449,0.059040,-0.231766,-0.039804,-0.076038,0.039567,0.105038,-0.009611,-0.048447,-0.077067,-0.050409,-0.018374,0.000000,0.000735,-0.002772,0.759171,0.074931,-0.005581,0.000433,0.997173,-0.003359,-0.058489,-0.027263,0.008860,-0.170568,0.048687
-0.201830,0.003616,0.032133,0.517208,-0.403327,0.049297,-0.198580,-0.034551,-0.008435,0.466487,-0.348119,0.080261,-0.015399,-0.099478,0.233194,-0.455021,-0.166912,-0.107277,-0.081209,-0.296358,0.180872,-0.213094,0.054144,0.000000,-0.493759,-0.089513,-0.224648,0.586373,-0.321651,0.165223,-0.342852,-0.059025,0.067686,0.327779,-0.138792,0.099071,0.078473,-0.203796,-0.034918,-0.068830,0.014913,0.097067,0.008495,-0.051293,-0.067823,-0.040109,-0.010886,0.000000,0.000702,-0.003357,0.758898,0.074689,-0.006428,0.000324,0.997186,-0.007492,-0.061183,-0.024652,0.013467,-0.152748,0.041112
-0.206127,0.002717,0.030133,0.522413,-0.406307,0.050919,-0.201470,-0.035163,-0.007832,0.469238,-0.349282,0.081188,-0.014420,-0.101237,0.232894,-0.455637,-0.167010,-0.106386,-0.080943,-0.296899,0.180286,-0.213392,0.054110,0.000000,-0.301602,-0.090426,-0.150683,0.388804,-0.250441,0.156024,-0.181317,-0.065353,0.045308,0.169690,-0.071310,0.079938,0.136772,-0.119885,-0.020260,-0.047210,-0.059047,0.073152,0.062812,-0.059836,-0.040092,-0.009208,0.011579,0.000000,0.000586,-0.003996,0.758678,0.074523,-0.007094,0.000182,0.997194,-0.019892,-0.069262,-0.016820,0.027297,-0.099286,0.018409
-0.207862,0.001807,0.029119,0.524984,-0.408336,0.052418,-0.202206,-0.035858,-0.007529,0.469881,-0.349545,0.081860,-0.012663,-0.101876,0.232789,-0.455965,-0.168093,-0.105813,-0.079953,-0.297554,0.180070,-0.213278,0.054376,0.000000,-0.173498,-0.091035,-0.101373,0.257093,-0.202966,0.149892,-0.073628,-0.069572,0.030390,0.064297,-0.026323,0.067182,0.175638,-0.063945,-0.010487,-0.032793,-0.108355,0.057210,0.099023,-0.065532,-0.021604,0.011393,0.026555,0.000000,0.000304,-0.004742,0.758562,0.074508,-0.007398,-0.000024,0.997193,-0.028158,-0.074648,-0.011596,0.036524,-0.063641,0.003290
-0.209597,0.000897,0.028105,0.527555,-0.410366,0.053917,-0.202943,-0.036554,-0.007225,0.470524,-0.349808,0.082532,-0.010907,-0.102515,0.232684,-0.456293,-0.169177,-0.105241,-0.078962,-0.298210,0.179854,-0.213164,0.054641,0.000000,-0.173498,-0.091035,-0.101373,0.257093,-0.202966,0.149892,-0.073627,-0.069572,0.030390,0.064299,-0.026323,0.067183,0.175638,-0.063945,-0.010487,-0.032791,-0.108354,0.057210,0.099023,-0.065531,-0.021604,0.011393,0.026555,0.000000,0.000022,-0.005489,0.758446,0.074492,-0.007702,-0.000230,0.997192,-0.028158,-0.074648,-0.011593,0.036525,-0.063639,0.003290
-0.211332,-0.000014,0.027092,0.530126,-0.412396,0.055416,-0.203679,-0.037250,-0.006921,0.471167,-0.350072,0.083203,-0.009151,-0.103155,0.232579,-0.456621,-0.170260,-0.104669,-0.077972,-0.298865,0.179638,-0.213050,0.054907,0.000000,-0.086030,-0.108343,-0.077194,0.161502,-0.171489,0.125118,-0.032770,-0.093889,0.010520,0.059287,-0.032231,0.059019,0.187080,-0.033537,-0.012697,-0.019166,-0.141019,0.043319,0.106673,-0.080206,-0.029182,0.038172,0.050565,0.000000,-0.000259,-0.006235,0.758330,0.074477,-0.008005,-0.000436,0.997190,-0.040942,-0.082834,-0.011119,0.018262,-0.031820,0.001645
-0.211317,-0.001270,0.026561,0.530785,-0.413796,0.056419,-0.203598,-0.038432,-0.007014,0.471709,-0.350453,0.083712,-0.007165,-0.103186,0.232430,-0.456676,-0.171997,-0.104375,-0.076829,-0.299814,0.179270,-0.212401,0.055653,0.000000,0.001437,-0.125651,-0.053016,0.065914,-0.140011,0.100343,0.008086,-0.118206,-0.009349,0.054276,-0.038141,0.050856,0.198521,-0.003129,-0.014906,-0.005540,-0.173683,0.029428,0.114322,-0.094882,-0.036761,0.064953,0.074574,0.000000,-0.000796,-0.007145,0.758223,0.074477,-0.008005,-0.000436,0.997190,-0.053725,-0.091020,-0.010645,0.000000,-0.000001,0.000001
-0.211303,-0.002527,0.026031,0.531444,-0.415196,0.057423,-0.203517,-0.039614,-0.007108,0.472252,-0.350834,0.084221,-0.005180,-0.103217,0.232281,-0.456732,-0.173734,-0.104081,-0.075686,-0.300762,0.178903,-0.211751,0.056398,0.000000,0.001438,-0.125651,-0.053016,0.065914,-0.140011,0.100343,0.008085,-0.118206,-0.009349,0.054277,-0.038141,0.050856,0.198521,-0.003130,-0.014905,-0.005542,-0.173683,0.029427,0.114322,-0.094882,-0.036761,0.064953,0.074574,0.000000,-0.001334,-0.008055,0.758117,0.074477,-0.008005,-0.000436,0.997190,-0.053725,-0.091020,-0.010648,0.000000,-0.000001,0.000001
-0.211289,-0.003783,0.025501,0.532103,-0.416596,0.058426,-0.203436,-0.040796,-0.007201,0.472795,-0.351216,0.084729,-0.003195,-0.103249,0.232132,-0.456787,-0.175471,-0.103786,-0.074542,-0.301711,0.178535,-0.211102,0.057144,0.000000,0.037964,-0.139976,-0.061860,0.029302,-0.125881,0.081217,0.022767,-0.135596,-0.036536,0.073335,-0.055678,0.042532,0.175404,0.016960,-0.015803,0.002600,-0.176301,0.017059,0.109198,-0.094655,-0.050255,0.072404,0.072283,0.000000,-0.001871,-0.008966,0.758010,0.074477,-0.008005,-0.000436,0.997190,-0.062325,-0.095878,-0.011390,0.063328,-0.054318,0.061446
-0.210544,-0.005326,0.024794,0.532030,-0.417713,0.059047,-0.203062,-0.042326,-0.007838,0.473719,-0.351948,0.085071,-0.001672,-0.102878,0.231965,-0.456680,-0.177260,-0.103740,-0.073502,-0.302656,0.177898,-0.210303,0.057844,0.000000,0.092752,-0.161465,-0.075126,-0.025615,-0.104685,0.052527,0.044791,-0.161681,-0.077317,0.101916,-0.081985,0.030046,0.140729,0.047094,-0.017151,0.014810,-0.180228,-0.001492,0.101513,-0.094314,-0.070494,0.083583,0.068847,0.000000,-0.002580,-0.009973,0.757889,0.073869,-0.008500,-0.001112,0.997231,-0.075224,-0.103164,-0.012508,0.078158,-0.058796,0.104179
-0.209434,-0.007012,0.023999,0.531591,-0.418690,0.059477,-0.202541,-0.044030,-0.008748,0.474833,-0.352855,0.085330,-0.000380,-0.102307,0.231789,-0.456491,-0.179075,-0.103816,-0.072512,-0.303598,0.177125,-0.209430,0.058521,0.000000,0.111015,-0.168628,-0.079548,-0.043920,-0.097620,0.042963,0.052132,-0.170376,-0.090911,0.111444,-0.090754,0.025884,0.129171,0.057138,-0.017599,0.018878,-0.181536,-0.007676,0.098951,-0.094202,-0.077240,0.087310,0.067702,0.000000,-0.003375,-0.011029,0.757760,0.073444,-0.008533,-0.001267,0.997262,-0.079524,-0.105593,-0.012884,0.029619,-0.008991,0.085477
-0.208323,-0.008699,0.023203,0.531152,-0.419666,0.059906,-0.202019,-0.045733,-0.009657,0.475948,-0.353763,0.085589,0.000911,-0.101735,0.231613,-0.456302,-0.180891,-0.103893,-0.071523,-0.304540,0.176353,-0.208557,0.059198,0.000000,0.109135,-0.176782,-0.097202,-0.035816,-0.098050,0.039226,0.042857,-0.179193,-0.105895,0.143133,-0.108886,0.014536,0.110104,0.064624,-0.017466,0.015955,-0.178703,-0.011063,0.100133,-0.093845,-0.078875,0.073312,0.059704,0.000000,-0.004171,-0.012085,0.757631,0.073019,-0.008566,-0.001422,0.997293,-0.082416,-0.107452,-0.014183,0.028754,-0.008193,0.101765
-0.207251,-0.010548,0.022055,0.530875,-0.420651,0.060261,-0.201683,-0.047613,-0.010865,0.477696,-0.355033,0.085621,0.001822,-0.101014,0.231440,-0.456172,-0.182650,-0.104038,-0.070510,-0.305474,0.175548,-0.207964,0.059715,0.000000,0.103496,-0.201245,-0.150163,-0.011513,-0.099339,0.028014,0.015034,-0.205645,-0.150845,0.238197,-0.163278,-0.019508,0.052905,0.087081,-0.017069,0.007187,-0.170200,-0.021222,0.103680,-0.092772,-0.083782,0.031320,0.035712,0.000000,-0.005024,-0.013178,0.757477,0.072432,-0.008592,-0.001569,0.997335,-0.091090,-0.113030,-0.018087,0.026156,-0.005814,0.150623
-0.206254,-0.012724,0.020200,0.530922,-0.421653,0.060467,-0.201719,-0.049846,-0.012674,0.480712,-0.357029,0.085199,0.001970,-0.099994,0.231272,-0.456159,-0.184295,-0.104318,-0.069449,-0.306395,0.174677,-0.207931,0.059912,0.000000,0.099736,-0.217554,-0.185471,0.004688,-0.100198,0.020539,-0.003516,-0.223279,-0.180812,0.301573,-0.199540,-0.042204,0.014772,0.102052,-0.016805,0.001340,-0.164532,-0.027994,0.106044,-0.092059,-0.087054,0.003326,0.019717,0.000000,-0.005992,-0.014345,0.757270,0.071519,-0.008603,-0.001700,0.997401,-0.096873,-0.116748,-0.020692,0.024419,-0.004236,0.183197
